pageNumber,lineNumber,position,surahId,ayahNo,isVerseEnd,text
5,10,3,2,27,false,بَعۡدِ
5,10,4,2,27,false,مِيثَٰقِهِۦ
5,10,5,2,27,false,وَيَقۡطَعُونَ
5,10,6,2,27,false,مَآ
5,10,7,2,27,false,أَمَرَ
5,10,8,2,27,false,ٱللَّهُ
5,10,9,2,27,false,بِهِۦٓ
5,10,10,2,27,false,أَن
5,10,11,2,27,false,يُوصَلَ
5,11,1,2,27,false,وَيُفۡسِدُونَ
5,11,2,2,27,false,فِي
5,11,3,2,27,false,ٱلۡأَرۡضِۚ
5,11,4,2,27,false,أُوْلَٰٓئِكَ
5,11,5,2,27,false,هُمُ
5,11,6,2,27,false,ٱلۡخَٰسِرُونَ
5,11,7,2,27,true,٢٧
5,12,1,2,28,false,كَيۡفَ
5,12,2,2,28,false,تَكۡفُرُونَ
5,12,3,2,28,false,بِٱللَّهِ
5,12,4,2,28,false,وَكُنتُمۡ
5,12,5,2,28,false,أَمۡوَٰتٗا
5,12,6,2,28,false,فَأَحۡيَٰكُمۡۖ
5,13,1,2,28,false,ثُمَّ
5,13,2,2,28,false,يُمِيتُكُمۡ
5,13,3,2,28,false,ثُمَّ
5,13,4,2,28,false,يُحۡيِيكُمۡ
5,13,5,2,28,false,ثُمَّ
5,13,6,2,28,false,إِلَيۡهِ
5,13,7,2,28,false,تُرۡجَعُونَ
5,13,8,2,28,true,٢٨
5,13,9,2,29,false,هُوَ
5,14,1,2,29,false,ٱلَّذِي
5,14,2,2,29,false,خَلَقَ
5,14,3,2,29,false,لَكُم
5,14,4,2,29,false,مَّا
5,14,5,2,29,false,فِي
5,14,6,2,29,false,ٱلۡأَرۡضِ
5,14,7,2,29,false,جَمِيعٗا
5,14,8,2,29,false,ثُمَّ
5,14,9,2,29,false,ٱسۡتَوَىٰٓ
5,14,10,2,29,false,إِلَى
5,15,1,2,29,false,ٱلسَّمَآءِ
5,15,2,2,29,false,فَسَوَّىٰهُنَّ
5,15,3,2,29,false,سَبۡعَ
5,15,4,2,29,false,سَمَٰوَٰتٖۚ
5,15,5,2,29,false,وَهُوَ
5,15,6,2,29,false,بِكُلِّ
5,15,7,2,29,false,شَيۡءٍ
5,15,8,2,29,false,عَلِيمٞ
5,15,9,2,29,true,٢٩
6,1,1,2,30,false,وَإِذۡ
6,1,2,2,30,false,قَالَ
6,1,3,2,30,false,رَبُّكَ
6,1,4,2,30,false,لِلۡمَلَٰٓئِكَةِ
6,1,5,2,30,false,إِنِّي
6,1,6,2,30,false,جَاعِلٞ
6,1,7,2,30,false,فِي
6,1,8,2,30,false,ٱلۡأَرۡضِ
6,1,9,2,30,false,خَلِيفَةٗۖ
6,2,1,2,30,false,قَالُوٓاْ
6,2,2,2,30,false,أَتَجۡعَلُ
6,2,3,2,30,false,فِيهَا
6,2,4,2,30,false,مَن
6,2,5,2,30,false,يُفۡسِدُ
6,2,6,2,30,false,فِيهَا
6,2,7,2,30,false,وَيَسۡفِكُ
